
SUBJ	CRSE	SECTION	CRN	TITLE	CREDITS		M	T	W	TH	F	SAT	SUN	START	END	PROFESSOR	DISTRIBUTION	DJ	CLASS_CAP
ARTS	323		92479	Social Media and Activism	4		.	.	W	.	.	.	.	9:10 AM	11:30 AM	Fahmid Haq	None		15
AS	200		92007	The Haunting of America:  History, Ghosts and the Undead	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	Donna Grover	HA 	D+J	22
AS	211		92006	Indigenous Ethno/Musicologies	4		.	T	.	Th	.	.	.	10:10 AM	11:30 AM	Luis Chavez	MBV 		22
ASL	101		92431	Beginning American Sign Language	4		.	T	.	Th	.	.	.	8:30 AM	9:50 AM	Diane Barkstrom/Mary McLaughlin	FL 	D+J	22
BIO	102		92090	Food Microbiology	4		.	.	.	.	F	.	.	12:30 PM	4:30 PM	Gabriel Perron	LS 		16
BIO	119		91881	 Often Awesome: The Science and Humanity of Amyotrophic Lateral Sclerosis (ALS)	4		.	T	.	Th	.	.	.	7:00 PM	9:00 PM	Craig Jude	LS 		18
BIO	151		91885	From Genes to Traits	4		.	T	.	Th	.	.	.	8:30 AM	9:50 AM	Michael Tibbetts	LS 		18
 	 		 			and	.	.	.	.	F	.	.	1:30 PM	4:30 PM				
BIO	153		91884	Global Change Biology	4		.	T	.	Th	.	.	.	1:30 PM	2:50 PM	Bruce Robertson	LS 		18
 	 		 			and	.	.	.	.	F	.	.	8:30 AM	11:30 AM				
BIO	158		91883	Case Studies in Medical Biology	4		.	T	.	Th	.	.	.	1:30 PM	4:30 PM	Brooke Jude	LS 		18
BIO	201		91886	Genetics and Evolution	4		M	.	W	.	.	.	.	8:30 AM	11:30 AM	Michael Tibbetts	LS 		18
BIO	202		91887	Ecology and Evolution	4		.	.	W	.	F	.	.	8:30 AM	11:30 AM	Felicia Keesing	LS 		18
BIO	208		91888	Biology Seminar	1		.	.	.	Th	.	.	.	12:10 PM	1:10 PM	Bruce Robertson	None		55
BIO	300		91890	300-Level Biology TBA	4		.	T	.	Th	.	.	.	3:30 PM	4:50 PM	. TBA	LS 		14
 	 		 			and	M	.	.	.	.	.	.	1:30 PM	4:30 PM				
BIO	308		91889	Plant Ecology	4		.	T	.	Th	.	.	.	1:30 PM	4:30 PM	Cathy Collins	LS 		14
BIO	432		91892	Calderwood Seminar: Distilling Biotechnology	4		.	.	W	.	.	.	.	8:30 AM	11:30 AM	Brooke Jude	None		12
BIO	437		91891	Calderwood Seminar: Communicating Unresolved Ecological Controversies	4		.	.	.	.	F	.	.	8:30 AM	11:30 AM	Cathy Collins	None		12
BLC	107		91871	Intensive ESL	4		M	T	W	Th	.	.	.	9:10 AM	11:40 AM	Denise Minin	None		10
